19.1146 	EXP 	New trial (rep=0, index=3): {u'StimuliImages': u'Hurt.jpg', u'CorrAns1': u'l'}
19.1309 	EXP 	TextStim: autoDraw = None
19.1309 	EXP 	TextStim: autoDraw = None
19.1309 	EXP 	TextStim: autoDraw = None
19.1309 	EXP 	Set image_3 image=stimuli\Hurt.jpg
19.1309 	EXP 	TextStim: autoDraw = None
19.1309 	EXP 	TextStim: autoDraw = None
19.1309 	EXP 	ImageStim: autoDraw = None
19.6313 	DATA 	Keypress: l
19.6477 	EXP 	TextStim: autoDraw = None
19.6477 	EXP 	TextStim: autoDraw = None
19.6477 	EXP 	ImageStim: autoDraw = None
19.6477 	EXP 	Set text_27 text=
19.6477 	EXP 	TextStim: autoDraw = None
19.6477 	EXP 	TextStim: autoDraw = None
19.6477 	EXP 	TextStim: autoDraw = None
20.6322 	EXP 	New trial (rep=0, index=4): {u'StimuliImages': u'Nasty.jpg', u'CorrAns1': u'l'}
20.6486 	EXP 	TextStim: autoDraw = None
20.6486 	EXP 	TextStim: autoDraw = None
20.6486 	EXP 	TextStim: autoDraw = None
20.6486 	EXP 	Set image_3 image=stimuli\Nasty.jpg
20.6486 	EXP 	TextStim: autoDraw = None
20.6486 	EXP 	TextStim: autoDraw = None
20.6486 	EXP 	ImageStim: autoDraw = None
21.2491 	DATA 	Keypress: l
21.2657 	EXP 	TextStim: autoDraw = None
21.2657 	EXP 	TextStim: autoDraw = None
21.2657 	EXP 	ImageStim: autoDraw = None
21.2657 	EXP 	Set text_27 text=
21.2657 	EXP 	TextStim: autoDraw = None
21.2657 	EXP 	TextStim: autoDraw = None
21.2657 	EXP 	TextStim: autoDraw = None
22.2500 	EXP 	New trial (rep=0, index=5): {u'StimuliImages': u'Happy.jpg', u'CorrAns1': u'a'}
22.2665 	EXP 	TextStim: autoDraw = None
22.2665 	EXP 	TextStim: autoDraw = None
22.2665 	EXP 	TextStim: autoDraw = None
22.2665 	EXP 	Set image_3 image=stimuli\Happy.jpg
22.2665 	EXP 	TextStim: autoDraw = None
22.2665 	EXP 	TextStim: autoDraw = None
22.2665 	EXP 	ImageStim: autoDraw = None
22.7503 	DATA 	Keypress: a
22.7668 	EXP 	TextStim: autoDraw = None
22.7668 	EXP 	TextStim: autoDraw = None
22.7668 	EXP 	ImageStim: autoDraw = None
22.7668 	EXP 	Set text_27 text=
22.7668 	EXP 	TextStim: autoDraw = None
22.7668 	EXP 	TextStim: autoDraw = None
22.7668 	EXP 	TextStim: autoDraw = None
23.7511 	EXP 	New trial (rep=0, index=6): {u'StimuliImages': u'Bad.jpg', u'CorrAns1': u'l'}
23.7675 	EXP 	TextStim: autoDraw = None
23.7675 	EXP 	TextStim: autoDraw = None
23.7675 	EXP 	TextStim: autoDraw = None
23.7675 	EXP 	Set image_3 image=stimuli\Bad.jpg
23.7675 	EXP 	TextStim: autoDraw = None
23.7675 	EXP 	TextStim: autoDraw = None
23.7675 	EXP 	ImageStim: autoDraw = None
24.2194 	DATA 	Keypress: l
24.2512 	EXP 	TextStim: autoDraw = None
24.2512 	EXP 	TextStim: autoDraw = None
24.2512 	EXP 	ImageStim: autoDraw = None
24.2512 	EXP 	Set text_27 text=
24.2512 	EXP 	TextStim: autoDraw = None
24.2512 	EXP 	TextStim: autoDraw = None
24.2512 	EXP 	TextStim: autoDraw = None
25.2358 	EXP 	New trial (rep=0, index=7): {u'StimuliImages': u'Pleasure.jpg', u'CorrAns1': u'a'}
25.2519 	EXP 	TextStim: autoDraw = None
25.2519 	EXP 	TextStim: autoDraw = None
25.2519 	EXP 	TextStim: autoDraw = None
25.2519 	EXP 	Set image_3 image=stimuli\Pleasure.jpg
